"ID;""En matière d'Internet"," vous vous considérez comme un utilisateur…"";""Quel(s) type(s) de sites visitez-vous couramment ?"";""Considérez-vous que cette adresse soit votre adresse email principale ?"";""A quelle fréquence consultez-vous votre boîte email ?"";""D’une manière générale", combien d’emails publicitaires, newsletters, alerting, ou autres," recevez-vous à cette adresse ?"";""Quelle image avez-vous de projet-one ?"";""A quelle fréquence profitez-vous des offres via le site project-one ?"";""Vous diriez que vous ouvrez les communications email de projet-one :"";""Comment jugez-vous l’impact des communications email sur l’image que vous avez de Projet-one ?"";""Les communications email de Projet-one vous incitent-elles à aller sur le site :"";""Quelles sont les raisons principales qui vous ont incité à recevoir les communications email de Projet-one ?"";""De manière générale"," quel est votre niveau de satisfaction concernant les communications email de Projet-one ?"";""Que pensez-vous de la longueur des communications email de Porjet-one ?"";""Par rapport à aujourd’hui"," vous souhaiteriez recevoir des communications email de Projet-one…"";""Avez-vous rencontré récemment un ou plusieurs des obstacles suivants vis-à-vis des communications email de Projet-one ?"";""Pensez-vous continuer à consulter les communications email de Projet-one à l’avenir ?"";""Vous êtes ?"";""Vous vivez…"";""Vous habitez…"";""Quel âge avez-vous ?"";""Quelle est votre profession ?""",,
70;Confirmé(e);Site marchand (e-commerce);Oui, c’est ma seule adresse email;Plusieurs fois par semaine;Plusieurs par jour;Très bonne;Environ tous les deux ou trois mois;Régulièrement;Très important;Moins souvent;Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;6;De la bonne longueur;Un peu plus fréquemment;Le manque de temps;Oui, sûrement;Femme;Province;Seul(e) sans enfant;35-44;Employé,,,,,,,,
71;Expert(e);Site marchand (e-commerce)|Jeux, Loisirs|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;De temps en temps;Assez important;Aussi souvent;Simplement par curiosité;7;De la bonne longueur;A la même fréquence;Le manque de temps|Autres;Oui, sans doute;Femme;Province;En couple sans enfant;18-24;Employé,,,,,,,
74;Confirmé(e);Documents de référence (dictionnaire, archive…)|Presse, Actualité|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez mauvaise;Au moins une fois par mois;Régulièrement;Assez important;Aussi souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;8;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;Seul(e) avec enfant(s);45-54;Employé,,,,,,
75;Débutant(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux|Santé, médicale|Sciences;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Moins souvent;Régulièrement;Pas important du tout;C’est votre façon principale d’y aller;Etre informé sur les produits/marques|Recevoir des adresses près de chez moi, des idées de sorties|Avoir accès aux conseils d’un expert;6;De la bonne longueur;A la même fréquence;Le manque de temps;Oui, sans doute;Femme;Province;Seul(e) sans enfant;55-64;Retraité,,,,
77;Confirmé(e);Site marchand (e-commerce)|Presse, Actualité|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Au moins une fois par mois;Systématiquement;Très important;Aussi souvent;Recevoir des actualités|Etre informé sur les produits/marques|Avoir accès aux conseils d’un expert;7;De la bonne longueur;Beaucoup plus fréquemment;Les liens sont trop lents;Oui, sûrement;Femme;Province;En couple avec enfant(s);35-44;Sans activité professionnelle,,,,,,
80;Expert(e);Documents de référence (dictionnaire, archive…)|Informatique|Jeux, Loisirs|Presse, Actualité|Santé, médicale|Sciences|Sport;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Plus d’une fois par semaine;Régulièrement;Très important;Plus souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;9;De la bonne longueur;Beaucoup plus fréquemment;Le manque de temps|Les images sont bloquées;Oui, sûrement;Femme;Paris ou région parisienne;En couple sans enfant;25-34;Cadre, cadre supérieur,,,
82;Débutant(e);Presse, Actualité|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Au moins une fois par mois;Systématiquement;Assez important;Plus souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Suivre  l'actualité d'un forum, d'un blog,…;10;De la bonne longueur;A la même fréquence;Certains liens ne fonctionnent pas|Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;Seul(e) sans enfant;>65;Retraité,,,,
84;Débutant(e);Sciences;Non, c’est une adresse secondaire;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Plus d’une fois par semaine;De temps en temps;Assez important;C’est votre façon principale d’y aller;Recevoir des actualités;9;Un peu trop courte;Beaucoup plus fréquemment;Le manque de temps;Oui, sûrement;Femme;Province;Seul(e) sans enfant;35-44;Sans activité professionnelle,,,,,,,,
86;Débutant(e);Documents de référence (dictionnaire, archive…)|Informatique|Presse, Actualité|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Jamais;De temps en temps;Assez important;Aussi souvent;Recevoir des actualités|Suivre  l'actualité d'un forum, d'un blog,…|Simplement par curiosité;10;De la bonne longueur;A la même fréquence;Certains liens ne fonctionnent pas|L’email est classé automatiquement comme spam.;Oui, sûrement;Homme;Province;Seul(e) sans enfant;55-64;Retraité,,,,
87;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux|Sciences;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par semaine mais moins de 1 par jours;Assez bonne;Jamais;De temps en temps;Peu important;Moins souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Suivre  l'actualité d'un forum, d'un blog,…;4;Beaucoup trop longue;Un peu moins fréquemment;Le manque de temps;Non, sans doute pas;Femme;Paris ou région parisienne;En couple sans enfant;35-44;Artisan, commerçant, chef d'entreprise,,
89;Initié(e);Site marchand (e-commerce)|Presse, Actualité|Informatique|Jeux, Loisirs|Documents de référence (dictionnaire, archive…)|Santé, médicale|Sciences|Sport|Réseaux sociaux;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Environ une fois par semaine;De temps en temps;Assez important;Aussi souvent;Recevoir des actualités|Etre informé sur les produits/marques|Simplement par curiosité;8;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);45-54;Employé,,,,
90;Confirmé(e);Documents de référence (dictionnaire, archive…)|Jeux, Loisirs|Réseaux sociaux|Santé, médicale|Sciences;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Jamais;Régulièrement;Peu important;Aussi souvent;Suivre  l'actualité d'un forum, d'un blog,…;5;Un peu trop longue;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;Seul(e) sans enfant;55-64;Retraité,,,
92;Débutant(e);Informatique|Jeux, Loisirs|Presse, Actualité|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Jamais;Systématiquement;Assez important;Aussi souvent;Recevoir des actualités|Simplement par curiosité|Avoir accès aux conseils d’un expert;9;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;En couple sans enfant;45-54;Employé,,,,,
95;Initié(e);Jeux, Loisirs|Presse, Actualité|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par semaine mais moins de 1 par jours;Assez bonne;Jamais;De temps en temps;Assez important;C’est votre façon principale d’y aller;Recevoir des actualités;8;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;Chez vos parents;18-24;Etudiant,,,,,,
96;Confirmé(e);Site marchand (e-commerce)|Informatique|Presse, Actualité|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Au moins une fois par mois;Régulièrement;Assez important;Aussi souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;8;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Homme;Paris ou région parisienne;En couple sans enfant;>65;Retraité,,,,,,
97;Expert(e);Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Environ une fois par semaine;Régulièrement;Très important;C’est votre façon principale d’y aller;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;8;Un peu trop longue;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);25-34;Employé,,,,,,,
99;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Informatique|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux|Santé, médicale|Sciences;Non, c’est une adresse secondaire;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;Régulièrement;Assez important;Aussi souvent;Recevoir des actualités|Etre informé sur les produits/marques|Simplement par curiosité;7;Un peu trop longue;A la même fréquence;Le manque de temps;Oui, sans doute;Femme;Paris ou région parisienne;Seul(e) sans enfant;25-34;Cadre, cadre supérieur,,,
104;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Informatique|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Moins souvent;Régulièrement;Très important;C’est votre façon principale d’y aller;Recevoir des actualités|Suivre  l'actualité d'un forum, d'un blog,…|Recevoir des adresses près de chez moi, des idées de sorties;7;De la bonne longueur;Un peu plus fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Paris ou région parisienne;En couple sans enfant;25-34;Cadre, cadre supérieur,
105;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Moins souvent;Régulièrement;Peu important;C’est votre façon principale d’y aller;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;8;De la bonne longueur;A la même fréquence;Le manque de temps|Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Paris ou région parisienne;En couple sans enfant;25-34;Artisan, commerçant, chef d'entreprise,,
106;Initié(e);Site marchand (e-commerce);Oui, c’est ma seule adresse email;Une fois par jour;Plusieurs par jour;Assez bonne;Au moins une fois par mois;Régulièrement;Assez important;Plus souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;7;De la bonne longueur;Un peu moins fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);18-24;Profession libérale,,,,,,,,
108;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Au moins une fois par mois;Régulièrement;Très important;Aussi souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;8;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;Seul(e) sans enfant;45-54;Sans activité professionnelle,,,,,
111;Confirmé(e);Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité;Oui, mais j’ai d’autres adresses email;Une fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;Régulièrement;Peu important;Aussi souvent;Simplement par curiosité;5;Un peu trop courte;A la même fréquence;Le manque de temps;Oui, sans doute;Femme;Province;En couple sans enfant;45-54;Artisan, commerçant, chef d'entreprise,,,,
114;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Environ 1 par jour;Assez mauvaise;Jamais;De temps en temps;Assez important;Moins souvent;Recevoir des actualités|Suivre  l'actualité d'un forum, d'un blog,…;6;Un peu trop longue;Un peu moins fréquemment;Le manque de temps|La mise en forme ne s’affiche pas correctement;Oui, sans doute;Femme;Paris ou région parisienne;En couple sans enfant;25-34;Cadre, cadre supérieur,,,
115;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;De temps en temps;Peu important;Aussi souvent;Recevoir des actualités|Etre informé sur les produits/marques|Simplement par curiosité;7;De la bonne longueur;A la même fréquence;Le manque de temps|Les liens sont trop lents|Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;Seul(e) sans enfant;18-24;Etudiant,,,,,,
120;Initié(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Environ 1 par jour;Très bonne;Moins souvent;De temps en temps;Ne sait pas;Moins souvent;Suivre  l'actualité d'un forum, d'un blog,…;6;De la bonne longueur;Un peu moins fréquemment;Je n’ai pas rencontré de problème particulier;Non, sans doute pas;Femme;Province;En couple sans enfant;35-44;Artisan, commerçant, chef d'entreprise,,,
124;Initié(e);Informatique|Jeux, Loisirs|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Jamais;De temps en temps;Assez important;Moins souvent;Suivre  l'actualité d'un forum, d'un blog,…|Simplement par curiosité;3;Un peu trop longue;Un peu moins fréquemment;La mise en forme ne s’affiche pas correctement;Oui, sans doute;Femme;Province;En couple sans enfant;55-64;Employé,,,,
125;Confirmé(e);Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Au moins une fois par mois;De temps en temps;Peu important;Aussi souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles;6;Un peu trop longue;A la même fréquence;Le manque de temps;Oui, sans doute;Femme;Paris ou région parisienne;En couple sans enfant;25-34;Employé,,,,,,
126;Expert(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Informatique|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux;Non, c’est une adresse secondaire;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Jamais;Rarement;Assez important;Moins souvent;Recevoir des actualités|Etre informé sur les produits/marques|Recevoir des adresses près de chez moi, des idées de sorties;7;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Homme;Province;En couple sans enfant;55-64;Employé,,,,
128;Initié(e);Site marchand (e-commerce)|Informatique|Presse, Actualité|Santé, médicale|Sport;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Au moins une fois par mois;De temps en temps;Assez important;Aussi souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;6;De la bonne longueur;A la même fréquence;Le manque de temps|Je n’ai pas rencontré de problème particulier;Oui, sûrement;Homme;Paris ou région parisienne;Seul(e) sans enfant;55-64;Retraité,,,,,,
132;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Informatique|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux|Santé, médicale|Sciences|Sport;Oui, c’est ma seule adresse email;Une fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;De temps en temps;Assez important;Aussi souvent;Recevoir des actualités|Etre informé sur les produits/marques|Suivre  l'actualité d'un forum, d'un blog,…;6;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;En couple avec enfant(s);35-44;Sans activité professionnelle,,
135;Expert(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce);Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Environ tous les deux ou trois mois;De temps en temps;Peu important;Aussi souvent;Bénéficier d'offres promotionnelles|Recevoir des adresses près de chez moi, des idées de sorties;6;De la bonne longueur;Un peu moins fréquemment;Le manque de temps;Oui, sans doute;Femme;Province;En couple sans enfant;45-54;Employé,,,,,,
136;Confirmé(e);Documents de référence (dictionnaire, archive…)|Informatique|Jeux, Loisirs|Réseaux sociaux|Sciences;Non, c’est une adresse secondaire;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Jamais;De temps en temps;Assez important;Plus souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Recevoir des petites annonces;7;De la bonne longueur;A la même fréquence;Certains liens ne fonctionnent pas|La mise en forme ne s’affiche pas correctement|L’email est classé automatiquement comme spam.;Oui, sans doute;Femme;Paris ou région parisienne;En couple avec enfant(s);35-44;Profession libérale,,,,,,
137;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Jeux, Loisirs|Réseaux sociaux|Sport;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;Régulièrement;Assez important;Plus souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles;8;De la bonne longueur;A la même fréquence;Les images sont bloquées;Oui, sans doute;Femme;Province;En couple sans enfant;25-34;Employé,,,,,,
139;Expert(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux|Sport;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Jamais;Régulièrement;Très important;C’est votre façon principale d’y aller;Recevoir des actualités|Etre informé sur les produits/marques|Avoir accès aux conseils d’un expert;8;Un peu trop longue;A la même fréquence;Le manque de temps;Oui, sûrement;Femme;Paris ou région parisienne;En couple sans enfant;18-24;Cadre, cadre supérieur,,,,,
142;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Jeux, Loisirs|Santé, médicale|Sciences|Sport;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Jamais;Systématiquement;Assez important;C’est votre façon principale d’y aller;Recevoir des actualités;7;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;En couple sans enfant;25-34;Employé,,,,,
146;Expert(e);Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Jamais;Rarement;Peu important;Plus souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;5;Un peu trop longue;Un peu moins fréquemment;Le manque de temps;Oui, sans doute;Femme;Paris ou région parisienne;En couple avec enfant(s);35-44;Cadre, cadre supérieur,,,,,
147;Débutant(e);Documents de référence (dictionnaire, archive…)|Presse, Actualité|Santé, médicale;Oui, mais j’ai d’autres adresses email;Une fois par jour;Environ 1 par jour;Assez bonne;Moins souvent;Régulièrement;Assez important;Aussi souvent;Recevoir des actualités|Etre informé sur les produits/marques|Avoir accès aux conseils d’un expert;8;De la bonne longueur;A la même fréquence;La mise en forme ne s’affiche pas correctement;Oui, sûrement;Femme;Province;En couple avec enfant(s);45-54;Profession libérale,,,,,
149;Confirmé(e);Sport;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par semaine mais moins de 1 par jours;Assez bonne;Jamais;Régulièrement;Peu important;Moins souvent;Recevoir des actualités|Simplement par curiosité|Recevoir des petites annonces;5;Beaucoup trop longue;A la même fréquence;Le manque de temps;Oui, sûrement;Homme;Paris ou région parisienne;En couple avec enfant(s);45-54;Sans activité professionnelle,,,,,,,,
150;Débutant(e);Site marchand (e-commerce)|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par semaine;Plusieurs par semaine mais moins de 1 par jours;Assez bonne;Plus d’une fois par semaine;Systématiquement;Assez important;Aussi souvent;Simplement par curiosité;4;De la bonne longueur;A la même fréquence;Certains liens ne fonctionnent pas|Les images sont bloquées;Oui, sûrement;Femme;Province;En couple sans enfant;55-64;Retraité,,,,,,,
151;Confirmé(e);Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Jamais;Systématiquement;Très important;Plus souvent;Recevoir des actualités|Etre informé sur les produits/marques|Avoir accès aux conseils d’un expert;8;De la bonne longueur;Un peu plus fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;Seul(e) sans enfant;18-24;Employé,,,,,,
153;Initié(e);Je ne visite aucun site en particulier;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Environ 1 par jour;Assez bonne;Jamais;Systématiquement;Assez important;Plus souvent;Etre informé sur les produits/marques|Simplement par curiosité;7;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);35-44;Employé,,,,,,,,
